name,category,price,description
washingmachine,HomeAppliances,22999,Washingmachine - a reliable homeappliances product for everyday use.
vacuumcleaner,HomeAppliances,8999,Vacuumcleaner - a reliable homeappliances product for everyday use.
toaster,Kitchen,1299,Toaster - a reliable kitchen product for everyday use.
inductioncooktop,Kitchen,2299,Inductioncooktop - a reliable kitchen product for everyday use.
pressurecooker,Kitchen,1899,Pressurecooker - a reliable kitchen product for everyday use.
frypan,Kitchen,899,Frypan - a reliable kitchen product for everyday use.
saucepan,Kitchen,799,Saucepan - a reliable kitchen product for everyday use.
knife,Kitchen,299,Knife - a reliable kitchen product for everyday use.
choppingboard,Kitchen,399,Choppingboard - a reliable kitchen product for everyday use.
waterbottle,Kitchen,299,Waterbottle - a reliable kitchen product for everyday use.
lunchbox,Kitchen,499,Lunchbox - a reliable kitchen product for everyday use.
thermosflask,Kitchen,699,Thermosflask - a reliable kitchen product for everyday use.
sofa,Furniture,15999,Sofa - a reliable furniture product for everyday use.
chair,Furniture,2499,Chair - a reliable furniture product for everyday use.
table,Furniture,4999,Table - a reliable furniture product for everyday use.
bed,Furniture,12999,Bed - a reliable furniture product for everyday use.
mattress,Furniture,8999,Mattress - a reliable furniture product for everyday use.
wardrobe,Furniture,13999,Wardrobe - a reliable furniture product for everyday use.
bookshelf,Furniture,3999,Bookshelf - a reliable furniture product for everyday use.
studytable,Furniture,4499,Studytable - a reliable furniture product for everyday use.
bedsheet,Furniture,999,Bedsheet - a reliable furniture product for everyday use.
pillow,Furniture,499,Pillow - a reliable furniture product for everyday use.
curtain,Furniture,799,Curtain - a reliable furniture product for everyday use.
shampoo,Beauty,299,Shampoo - a reliable beauty product for everyday use.
conditioner,Beauty,349,Conditioner - a reliable beauty product for everyday use.
facewash,Beauty,249,Facewash - a reliable beauty product for everyday use.
moisturizer,Beauty,399,Moisturizer - a reliable beauty product for everyday use.
sunscreen,Beauty,449,Sunscreen - a reliable beauty product for everyday use.
lipstick,Beauty,599,Lipstick - a reliable beauty product for everyday use.
perfume,Beauty,1499,Perfume - a reliable beauty product for everyday use.
deodorant,Beauty,299,Deodorant - a reliable beauty product for everyday use.
soap,Beauty,99,Soap - a reliable beauty product for everyday use.
toothpaste,Beauty,89,Toothpaste - a reliable beauty product for everyday use.
hairdryer,Beauty,1299,Hairdryer - a reliable beauty product for everyday use.
trimmer,Beauty,1599,Trimmer - a reliable beauty product for everyday use.
football,Sports,899,Football - a reliable sports product for everyday use.
basketball,Sports,999,Basketball - a reliable sports product for everyday use.
cricketbat,Sports,1499,Cricketbat - a reliable sports product for everyday use.
tennisracket,Sports,1999,Tennisracket - a reliable sports product for everyday use.
badminton,Sports,799,Badminton - a reliable sports product for everyday use.
skippingrope,Sports,199,Skippingrope - a reliable sports product for everyday use.
dumbbell,Sports,999,Dumbbell - a reliable sports product for everyday use.
yogamat,Sports,599,Yogamat - a reliable sports product for everyday use.
cyclehelmet,Sports,999,Cyclehelmet - a reliable sports product for everyday use.
bicycle,Sports,8999,Bicycle - a reliable sports product for everyday use.
notebook2,Stationery,50,Notebook - a reliable stationery product for everyday use.
pen,Stationery,20,Pen - a reliable stationery product for everyday use.
pencil,Stationery,10,Pencil - a reliable stationery product for everyday use.
eraser,Stationery,5,Eraser - a reliable stationery product for everyday use.
sharpener,Stationery,15,Sharpener - a reliable stationery product for everyday use.
stapler,Stationery,99,Stapler - a reliable stationery product for everyday use.
scissors,Stationery,79,Scissors - a reliable stationery product for everyday use.
glue,Stationery,49,Glue - a reliable stationery product for everyday use.
marker,Stationery,35,Marker - a reliable stationery product for everyday use.
crayons,Stationery,99,Crayons - a reliable stationery product for everyday use.
